id;nom;prenom;adresse;telephone;mail;iduser
1;Dupont;Pierre;8,rue de la Menagerie, 88000 ÉPINAL;03.92.81.34.97;chevre077@yahoo.fr;1111
2;Halleux;Alexandre;78, rue de la Hulotais 59430 SAINT-POL-SUR-MER ;03.27.32.84.86;halleua@yahoo.fr;1112
3;Mazin;Regina;54, cours Jean Jaures 33100 BORDEAUX ;05.58.74.26.82;mazrrez@yahoo.fr;1113
4;Marchon;Carl;48, avenue Ferdinand de Lessepsn 06130 GRASSE;04.98.67.00.46;camarche@yahoo.fr;1114
5;Poussin;Gina;68, rue de la Clef 59390 LYS-LEZ-LANNOY;03.20.83.86.84;pourquoi@yahoo.fr;1115
6;Questeur;Fabrice;24, rue de Saint-Cyr 83000 TOULON;04.74.43.05.02;questfais@yahoo.fr;1116
7;Ominus;Colette;250, avenue Seigneur de Troie 67100 ROUEN;02.35.21.26.14;omlette@yahoo.fr;1117
8;Mathon;Caroline;5, rue de Hellemes 59000 LILLE;03.20.50.45.82;carolala@yahoo.fr;1118
9;Maguier;Franck;6, avenue Loumier 76000 Strasbourg;03.88.99.77.66;fromage03@yahoo.fr;1119
10;Dupont;Celine;9, rue de la Menagerie 88000 EPINAL;03.92.82.30.31;bosschevre@yahoo.fr;1120
11;Durand;Max;8, rue de la Clef, 59000 LILLE;03.20.45.10.14;vivelille1@yahoo.fr;1121
12;Nonyme;Alexandra;95, rue du grand espace 44400 REZE;02.40.14.15.16;anonym99@yahoo.fr;1122
13;Parte;Celia;23, boulevards des peupliers 37000 GRENOBLE;04.76.35.36;cestparti@yahoo.fr;1123
14;Dupont ;Anne;258, Place du Grand Saule 88000 EPINAL;03.92.84.56.33;voilaçamarche@yahoo.fr;1124
